,station_id,description,lon,lat,height
378,06011,FAROEER,-6.77,62.02,54.0
379,08501,FLORES/AZOREN,-31.13,39.45,28.0
380,08521,FUNCHAL,-16.77,32.68,58.0
381,08589,CAP VERDEN/PRAIA,-23.52,14.9,27.0
382,17280,DIYARBAKIR,40.2,37.88,687.0
383,20087,OSTROV GOLOMJANNYJ,90.62,79.55,8.0
384,22550,ARCHANGELSK,40.5,64.58,13.0
385,23256,TAZOVSKOE,78.73,67.47,8.0
386,23734,OKTJABRSKOE,66.05,62.45,72.0
387,24266,VERHOJANSK,133.38,67.55,137.0
388,27113,CEREPOVEC,37.97,59.25,114.0
389,27719,TULA,37.62,54.23,165.0
390,28382,UST-ISIM,71.18,57.68,62.0
391,28952,KUSTANAI,63.62,53.22,156.0
392,30054,VITIM,112.58,59.45,190.0
393,30710,IRKUTSK,104.35,52.27,485.0
394,31300,ZEJA,127.3,53.7,229.0
395,32053,NOGLIKI,143.13,51.92,34.0
396,32408,UST'KAMCHATSK,162.72,56.22,27.0
397,35108,URALSK,51.28,51.25,37.0
398,35358,TORGAI,63.5,49.63,123.0
399,37171,SOTSCHI,39.9,43.45,16.0
400,38353,BISHKEK,74.53,42.85,756.0
401,38696,SAMARKAND,66.95,39.57,724.0
402,38954,KHOROG,71.52,37.5,2077.0
403,40375,TABUK,36.6,28.38,778.0
404,40582,KUWAIT,47.98,29.22,55.0
405,40747,SANANDAJ,47.0,35.33,1373.0
406,40768,HAMEDAN,48.53,34.87,1749.0
407,40848,SHIRAZ,52.58,29.53,1486.0
408,41030,MAKKAH,39.77,21.43,240.0
409,41196,SHARJAH,55.52,25.33,35.0
410,41244,BURAIMI,55.78,24.23,299.0
411,41255,NIZWA,57.53,22.85,492.0
412,41262,FAHUD,56.48,22.35,170.0
413,41267,QALHAT,59.4,22.67,11.0
414,41312,RAYSUT PORT,53.92,16.92,33.0
415,41571,ISLAMABAD,73.1,33.62,507.0
416,41749,NAWABSHAH,68.37,26.25,37.0
417,41978,CHITTAGONG,91.82,22.27,4.0
418,42369,LUCKNOW,80.88,26.75,122.0
419,43128,HYDERABAD AIRPORT,78.47,17.45,530.0
420,43466,COLOMBO,79.87,6.9,7.0
421,44275,BAYANBULAG,98.08,46.83,2255.0
422,44454,KATHMANDU,85.37,27.7,1337.0
423,47016,HYESAN,128.17,41.4,715.0
424,47058,PYONGYANG,125.78,39.03,36.0
425,47108,SEOUL,126.97,37.57,86.0
426,47136,ANDONG,128.72,36.57,140.0
427,47152,ULSAN,129.32,35.55,32.0
428,47412,SAPPORO,141.33,43.05,17.0
429,47590,SENDAI,140.9,38.27,39.0
430,47746,TOTTORI / HONSHU,134.23,35.48,15.0
431,47815,OITA,131.62,33.23,5.0
432,47895,TOKUSHIMA / SHIKOKU,134.58,34.07,6.0
433,48327,CHIANG MAI,98.98,18.78,312.0
434,48461,PHATTHAYA,100.87,12.92,59.0
435,48569,HAT YAI,100.43,6.92,27.0
436,48657,KUANTAN,103.22,3.62,18.0
437,48940,VIENTIANE,102.57,17.95,171.0
438,50953,HARBIN,126.77,45.75,143.0
439,51765,TIKANLIK,87.7,40.63,847.0
440,52866,XINING,101.77,36.62,2262.0
441,53959,YUNCHENG,111.02,35.03,376.0
442,54324,CHAOYANG,120.45,41.55,167.0
443,54497,DANDONG,124.33,40.08,14.0
444,54753,LONGKOU,120.32,37.62,5.0
445,55472,XAINZA,88.63,30.95,4670.0
446,56196,MIANYANG,104.68,31.47,472.0
447,57083,ZHENGZHOU,113.65,34.72,111.0
448,57494,WUHAN,114.13,30.62,23.0
449,57687,CHANGSHA,112.87,28.23,68.0
450,57972,CHENZHOU,113.03,25.8,185.0
451,58238,NANJING,118.85,31.73,12.0
452,58477,DINGHAI,122.12,30.03,37.0
453,58968,TAIBEI,121.52,25.03,9.0
454,59287,GUANGZHOU,113.32,23.13,8.0
455,59644,BEIHAI,109.1,21.48,16.0
456,59948,YA XIAN,109.52,18.23,7.0
457,60025,TENERIFE SUR,-16.57,28.05,64.0
458,60680,TAMANRASSET,5.52,22.78,1378.0
459,61442,NOUAKCHOTT,-15.95,18.1,2.0
460,61832,CONAKRY/GBESSIA,-13.62,9.57,26.0
461,61988,RODRIGUES,63.42,-19.68,58.0
462,62405,LUXOR,32.7,25.67,93.0
463,62641,PORT SUDAN,37.22,19.58,3.0
464,63450,ADDIS ABABA,38.8,8.98,2324.0
465,63733,MUSOMA,33.8,-1.5,1147.0
466,63870,ZANZIBAR/KISAUNI,39.22,-6.22,15.0
467,64220,KINSHASA,15.25,-4.37,445.0
468,64450,BRAZZAVILLE,15.25,-4.25,319.0
469,64756,ABECHE,20.85,13.85,549.0
470,65201,LAGOS/IKEJA,3.33,6.58,40.0
471,65472,ACCRA,-0.17,5.6,68.0
472,65562,DIMBOKRO,-4.7,6.65,92.0
473,67009,DIEGO-SUAREZ,49.3,-12.35,114.0
474,67237,NAMPULA,39.28,-15.1,438.0
475,67341,MAPUT0/MAVALANE,32.57,-25.92,39.0
476,67775,HARARE-KUTSAGA,31.13,-17.92,1479.0
477,68010,OKAUKUEJO,15.92,-19.18,1102.0
478,68112,WINDHOEK HOSEA INTL.,17.47,-22.48,1719.0
479,68296,SKUKUZA,31.6,-24.98,263.0
480,68438,KIMBERLEY,24.77,-28.8,1204.0
481,68523,BRANDVLEI,20.48,-30.47,922.0
482,68727,BEAUFORT WEST,22.55,-32.35,902.0
483,68906,GOUGH ISLAND,-9.88,-40.35,54.0
484,70200,NOME,-165.43,64.5,6.0
485,70361,YAKUTAT,-139.67,59.52,11.0
